Census,Prname,ageadjrate
Division No.  1,Newfoundland and Labrador / Terre-Neuve-et-Labrador,21.0
Halifax,Nova Scotia / Nouvelle-�cosse,4.6
Victoria,New Brunswick / Nouveau-Brunswick,16.0
Saint John,New Brunswick / Nouveau-Brunswick,15.5
Sherbrooke,Quebec / Qu�bec,17.5
Gatineau,Quebec / Qu�bec,13.6
Le Saguenay-et-son-Fjord,Quebec / Qu�bec,12.6
Quebec City,Quebec / Qu�bec,11.6
,Quebec / Qu�bec,9.8
Montr�al,Quebec / Qu�bec,6.9
Brant,Ontario,41.2
Thunder Bay,Ontario,34.7
Niagara,Ontario,27.1
Middlesex,Ontario,22.5
Hamilton,Ontario,20.2
Greater Sudbury / Grand Sudbury,Ontario,19.1
Wellington,Ontario,16.9
,Ontario,16.6
Peterborough,Ontario,16.1
Frontenac,Ontario,15.8
Essex,Ontario,15.6
Durham,Ontario,14.3
Waterloo,Ontario,12.4
Ottawa,Ontario,10.3
Toronto,Ontario,7.9
Division No. 11,Manitoba,11.3
Division No.  6,Sask,21.4
Division No. 11,Sask,19.7
Division No. 11,Alberta,18.5
Division No.  6,Alberta,17.8
Central Okanagan,B.C.,52.8
Fraser Valley,B.C.,26.7
Greater Vancouver,B.C.,20.4
Capital,B.C.,18.7
Cape Breton,Nova Scotia / Nouvelle-�cosse,27.9
Division No.  8,New Brunswick / Nouveau-Brunswick,4.6
La Vall�e-du-Richelieu,Quebec / Qu�bec,27.3
Francheville,Quebec / Qu�bec,18.7
Mirabel,Quebec / Qu�bec,13.9
,,25.3
,,18.5
,,14.6
,,13.9
,,13.3
,,13.3
,,11.7
,,11.0
,,10.7
,,10.3
,,10.2
,,10.0
,,9.9
,,8.9
,,8.2
,,8.1
,,6.5
,,6.3
,,52.8
,,48.4
,,43.3
,,38.4
,,37.1
,,30.2
,,29.4
,,25.7
,,25.4
,,24.8
,,24.1
,,23.4
,,21.9
,,20.9
,,19.6
,,19.5
,,19.2
,,18.2
,,17.9
,,17.4
,,16.0
,,12.7
,,12.2
,,10.9
,,10.7
,,10.4
,,10.2
,,10.0
,,9.4
,,8.8
,,7.8
,,7.6
,,7.2
,,7.0
,,6.6
,,6.3
,,6.0
,,3.4
,,26.4
,,11.8
,,23.0
,,21.8
,,43.8
,,30.9
,,32.0
,,26.7
,,21.0
,,17.8
,,13.1
,,9.5
,,8.8
,,7.6
,,57.7
,,57.7
,,54.7
,,51.6
,,40.4
,,37.4
,,35.1
,,28.7
,,27.1
,,26.6
,,24.4
,,21.4
,,20.2
,,19.8
,,14.6
,,13.3
,,12.1
,,11.9
,,11.1
